ID,CNG ID,Source,Destination,Arrival Time,Boarding Time,Trip Start Time,Departure Time,Queue Delay,Halting Delay,Road Delay,Waiting Time,Total Delay
5,1,Kamarpara,Station Road,2.51938,2.51938,2.61938,2.97471,0,0.1,0.355325,0.1,0.455325
7,6,Station Road,Kamarpara,3.88661,3.88661,3.98661,5.13786,0,0.1,1.15125,0.1,1.25125
9,1,Station Road,Kamarpara,4.79733,4.79733,4.89733,6.23161,0,0.1,1.33428,0.1,1.43428
6,8,Station Road,Kamarpara,2.75637,2.75637,7.59396,8.74694,0,4.83759,1.15298,4.83759,5.99057
10,8,Station Road,Kamarpara,6.84046,6.84046,7.59396,8.74694,0,0.753506,1.15298,0.753506,1.90648
11,8,Station Road,Kamarpara,7.49396,7.49396,7.59396,8.74694,0,0.1,1.15298,0.1,1.25298
13,1,Kamarpara,Station Road,9.9518,9.9518,10.0518,10.1171,0,0.1,0.0653037,0.1,0.165304
4,9,Station Road,Kamarpara,2.3086,2.3086,12.6179,13.6183,0,10.3093,1.00043,10.3093,11.3097
12,9,Station Road,Kamarpara,8.88631,8.88631,12.6179,13.6183,0,3.73155,1.00043,3.73155,4.73198
16,9,Station Road,Kamarpara,11.3628,11.3628,12.6179,13.6183,0,1.25505,1.00043,1.25505,2.25548
18,9,Station Road,Kamarpara,12.5179,12.5179,12.6179,13.6183,0,0.1,1.00043,0.1,1.10043
14,2,Kamarpara,Station Road,10.231,10.231,14.119,14.1647,0,3.88802,0.0456446,3.88802,3.93366
22,2,Kamarpara,Station Road,14.019,14.019,14.119,14.1647,0,0.1,0.0456446,0.1,0.145645
1,7,Station Road,Kamarpara,0.661097,0.661097,13.8869,15.2864,0,13.2258,1.39952,13.2258,14.6253
21,7,Station Road,Kamarpara,13.7869,13.7869,13.8869,15.2864,0,0.1,1.39952,0.1,1.49952
28,6,Kamarpara,Station Road,17.0766,17.0766,17.1766,17.7524,0,0.1,0.575818,0.1,0.675818
2,4,Kamarpara,Station Road,1.32915,1.32915,17.6367,18.3419,0,16.3075,0.705216,16.3075,17.0127
8,4,Kamarpara,Station Road,4.382,4.382,17.6367,18.3419,0,13.2547,0.705216,13.2547,13.9599
17,4,Kamarpara,Station Road,12.1959,12.1959,17.6367,18.3419,0,5.44082,0.705216,5.44082,6.14604
29,4,Kamarpara,Station Road,17.5367,17.5367,17.6367,18.3419,0,0.1,0.705216,0.1,0.805216
24,3,Kamarpara,Station Road,14.4919,14.4919,18.3135,19.8364,0,3.82158,1.52286,3.82158,5.34443
30,3,Kamarpara,Station Road,17.8542,17.8542,18.3135,19.8364,0,0.459302,1.52286,0.459302,1.98216
31,3,Kamarpara,Station Road,18.2135,18.2135,18.3135,19.8364,0,0.1,1.52286,0.1,1.62286
34,1,Station Road,Kamarpara,20.4303,20.4303,20.5303,21.0392,0,0.1,0.508893,0.1,0.608893
15,8,Kamarpara,Station Road,11.1875,11.1875,15.565,21.8777,0,4.37748,6.31266,4.37748,10.6901
20,8,Kamarpara,Station Road,13.7309,13.7309,15.565,21.8777,0,1.83416,6.31266,1.83416,8.14682
