ID,CNG ID,Source,Destination,Arrival Time,Boarding Time,Trip Start Time,Departure Time,Queue Delay,Halting Delay,Road Delay,Waiting Time,Total Delay
5,1,Kamarpara,Station Road,5.63457,5.63457,5.73457,7.29023,0,0.1,1.55566,0.1,1.65566
6,1,Kamarpara,Station Road,5.70492,5.70492,5.73457,7.29023,0,0.0296444,1.55566,0.0296444,1.5853
10,16,Station Road,Kamarpara,7.94748,7.94748,8.04748,8.21736,0,0.1,0.169877,0.1,0.269877
9,1,Station Road,Kamarpara,7.80502,7.80502,7.90502,8.46021,0,0.1,0.555189,0.1,0.655189
8,9,Kamarpara,Station Road,7.57517,7.57517,16.637,16.7135,0,9.06179,0.0765272,9.06179,9.13832
11,9,Kamarpara,Station Road,8.38528,8.38528,16.637,16.7135,0,8.25168,0.0765272,8.25168,8.3282
14,9,Kamarpara,Station Road,9.16262,9.16262,16.637,16.7135,0,7.47434,0.0765272,7.47434,7.55086
25,9,Kamarpara,Station Road,16.537,16.537,16.637,16.7135,0,0.1,0.0765272,0.1,0.176527
27,6,Kamarpara,Station Road,18.0933,18.0933,18.1933,18.9486,0,0.1,0.755294,0.1,0.855294
29,1,Kamarpara,Station Road,19.1002,19.1002,19.2002,19.5953,0,0.1,0.395133,0.1,0.495133
17,2,Kamarpara,Station Road,11.673,11.673,19.7628,21.1799,0,8.0898,1.41705,8.0898,9.50685
31,2,Kamarpara,Station Road,19.6628,19.6628,19.7628,21.1799,0,0.1,1.41705,0.1,1.51705
28,16,Kamarpara,Station Road,18.4884,18.4884,18.5884,21.7439,0,0.1,3.1555,0.1,3.2555
12,3,Kamarpara,Station Road,8.4008,8.4008,22.5526,22.8242,0,14.1518,0.271523,14.1518,14.4234
23,3,Kamarpara,Station Road,15.613,15.613,22.5526,22.8242,0,6.93964,0.271523,6.93964,7.21117
35,3,Kamarpara,Station Road,22.4526,22.4526,22.5526,22.8242,0,0.1,0.271523,0.1,0.371523
36,6,Station Road,Kamarpara,22.647,22.647,22.747,23.9191,0,0.1,1.17212,0.1,1.27212
1,5,Kamarpara,Station Road,2.66603,2.66603,23.1765,24.4663,0,20.5105,1.28983,20.5105,21.8003
