Arrival Mean,Service Mean,Traffic Intensity,Max Delay,Average Delay,Max Queue Length,Average Queue Length,Busy Ratio,Idle Ratio,Total Runtime
5,0.25,0.05,1.17596,0.243811,0.0333333,0.00216561,0.0492072,0.950793,499.984
5,0.5,0.1,2.39076,0.489522,0.766667,0.0118642,0.100692,0.899308,496.957
5,0.75,0.15,3.90653,0.762732,1.1,0.0297035,0.153825,0.846175,496.426
5,1,0.2,4.75463,0.989926,1.4,0.0435991,0.199002,0.800998,504.687
5,1.25,0.25,6.83798,1.29002,1.9,0.0867897,0.258408,0.741592,498.296
5,1.5,0.3,8.14787,1.52258,2.16667,0.118475,0.285456,0.714544,528.125
5,1.75,0.35,9.01986,1.7784,2.66667,0.198148,0.361257,0.638743,486.309
5,2,0.4,9.63823,2.00669,2.7,0.237228,0.40083,0.59917,511.792
5,2.25,0.45,11.028,2.348,4.2,0.455108,0.468384,0.531616,495.408
5,2.5,0.5,12.1743,2.46575,3.96667,0.48119,0.508715,0.491285,492.217
5,2.75,0.55,12.4417,2.73098,3.83333,0.561372,0.546911,0.453089,498.073
5,3,0.6,15.6957,3.04655,5.96667,0.91438,0.59429,0.40571,504.356
5,3.25,0.65,16.8458,3.29851,5.86667,1.13957,0.658413,0.341587,502.934
5,3.5,0.7,18.1477,3.70198,6.4,1.47645,0.696791,0.303209,509.801
5,3.75,0.75,25.0662,4.47136,7.93333,2.33707,0.741429,0.258571,515.65
5,4,0.8,27.3515,4.84767,9.46667,2.89017,0.812998,0.187002,516.952
5,4.25,0.85,29.2971,4.82894,9.4,3.01716,0.816294,0.183706,530.09
5,4.5,0.9,43.9455,7.2856,12.6333,4.71578,0.865153,0.134847,531.423
5,4.75,0.95,47.1469,7.23752,12.4333,5.09707,0.883978,0.116022,537.838
