Arrival Mean,Service Mean,Traffic Intensity,Max Delay,Average Delay,Max Queue Length,Average Queue Length,Busy Ratio,Idle Ratio,Total Runtime
5,0.25,0.05,1.24187,0.249687,0.166667,0.00258284,0.0505365,0.949463,498.241
5,0.5,0.1,2.65773,0.501835,0.5,0.0111389,0.101575,0.898425,498.679
5,0.75,0.15,3.70862,0.746121,1,0.025697,0.155399,0.844601,487.231
5,1,0.2,5.0496,1.00395,1.06667,0.0470178,0.198424,0.801576,493.337
5,1.25,0.25,6.70612,1.2673,1.76667,0.0780003,0.247247,0.752753,510.568
5,1.5,0.3,7.49599,1.48942,2.1,0.122917,0.304517,0.695483,496.035
5,1.75,0.35,8.26174,1.77052,2.66667,0.18675,0.355936,0.644064,500.396
5,2,0.4,9.81749,1.99267,3.1,0.245846,0.401192,0.598808,506.916
5,2.25,0.45,11.1518,2.29394,3.63333,0.389036,0.468599,0.531401,499.149
5,2.5,0.5,12.5119,2.58936,3.9,0.500325,0.507179,0.492821,512.639
5,2.75,0.55,13.4743,2.79364,4.43333,0.724461,0.565587,0.434413,495.979
5,3,0.6,14.3506,2.95533,5,0.727851,0.577994,0.422006,504.553
5,3.25,0.65,15.4372,3.25131,5.5,1.04619,0.638927,0.361073,516.156
5,3.5,0.7,19.9515,3.63896,6.93333,1.56561,0.70912,0.29088,508.456
5,3.75,0.75,21.3722,4.00301,7.3,1.80357,0.745059,0.254941,516.391
5,4,0.8,27.41,5.05222,8.9,2.6851,0.773338,0.226662,528.91
5,4.25,0.85,26.0539,4.78189,8.86667,2.75117,0.82786,0.17214,512.067
5,4.5,0.9,39.102,6.33196,10.8333,4.06171,0.854646,0.145354,526.618
5,4.75,0.95,52.7852,8.08923,14.4,5.5026,0.866256,0.133744,553.395
